78,51,3,5,5,51230
186,75,68,16,539,312
137,135,48,17,461,512
98,22,6,30,524,100
46,18,7,11,9,46
243,120,9032,18409,34736,41442
197,108,32690,43661,26061,45130
104,50,4900,28358,24035,32690
251,241,22487,42129,16262,42646
81,80,7336,12299,9008,39172
282,172,13730,11004,39026,15579
189,42,33109,9406,28567,9555
178,28,40549,23866,7513,974
252,15,18945,973,39500,43972
257,208,3634,23188,16405,28570
211,92,49859,12338,48245,7026
56,10,12570,41482,10327,11306
192,177,9129,16078,11127,31342
50,48,17274,22278,29865,47733
209,111,972,31671,35015,10569
78,51,3,5,5,51230
286,279,40323,3124,18358,11611
295,94,35743,26317,36026,47224
110,18,12049,46333,39194,36446
274,238,36365,1398,29864,21364
