1 2 3 | 1000000000000
87 19 47 86 39 19 | 3
21 13 8 70 52 5 39 43 87 87 65 | 1
72 26 30 18 84 77 43 76 81 57 65 4 45 3 93 85 67 | 7
5 5 5 5 5 5 5 5 5 5 0 | 3
9 46 6 92 18 45 77 90 81 35 26 33 8 16 | 3
27 49 23 20 70 | 1
0 | 100
0 61 33 6 48 23 30 82 2 65 72 87 71 57 59 68 18 95 79 56 41 91 24 | 5
52 5 31 33 30 84 79 | 1
87 45 95 29 88 22 72 76 66 30 78 45 14 5 | 4
81 77 5 87 95 19 | 1
91 84 54 1 34 5 13 49 92 | 1
29 17 30 1 26 98 94 | 3
4 62 27 87 95 7 6 20 0 21 59 | 1
84 7 2 56 52 55 38 0 38 46 15 61 50 89 65 64 42 56 82 39 69 34 95 72 48 | 4
68 33 89 9 43 3 72 39 37 55 73 79 34 40 73 11 23 32 64 47 29 | 9
2 25 49 37 44 71 29 94 | 2
28 15 18 2 59 96 95 10 31 69 86 66 73 67 23 69 73 89 83 97 92 64 | 1
5 5 97 62 76 15 20 80 21 18 70 3 76 58 60 24 74 22 75 84 27 | 5
